rxn	name	status	is_transport	is_obsolete	stored_reversibility	equation	definition	ec	ec_class	n_ec	dg_gc	dg_eq	dg_dgp	n_sources	n_kegg_alias	kegg_ids_staged	kegg_ids_alias	kegg_vouched	kegg_max_reuse	n_kegg_with_dg	n_kegg_no_dg	kegg_spread_kcal	n_sub	n_prod	n_participants	sum_abs_coeff	max_abs_coeff	n_elements	elements	has_S	has_P	has_N	has_halogen	has_metal	has_Se	n_generic_formula	n_missing_formula	n_missing_smiles	all_have_smiles	max_carbon	max_mass	max_heavy_atoms	total_rings	total_arom_rings	cofactors	n_cofactors	cof_acp	cof_adp	cof_amp	cof_atp	cof_co2	cof_coa	cof_cytc_ox	cof_cytc_red	cof_fad	cof_fadh2	cof_fdx_ox	cof_fdx_red	cof_fmn	cof_fmnh2	cof_gln	cof_glu	cof_gsh	cof_gssg	cof_h	cof_h2o	cof_h2o2	cof_menaquinol8	cof_menaquinone8	cof_mthf	cof_nad	cof_nadh	cof_nadp	cof_nadph	cof_nh3	cof_o2	cof_pi	cof_ppi	cof_pydx5p	cof_sah	cof_sam	cof_thf	cof_ubiquinol8	cof_ubiquinone8	g_acetal	d_acetal	g_aldehyde	d_aldehyde	g_alkene	d_alkene	g_alkyne	d_alkyne	g_amide	d_amide	g_aromatic_c	d_aromatic_c	g_aromatic_n	d_aromatic_n	g_carboxylate	d_carboxylate	g_disulfide	d_disulfide	g_epoxide	d_epoxide	g_ester	d_ester	g_ether	d_ether	g_guanidine	d_guanidine	g_halide	d_halide	g_hydroxyl	d_hydroxyl	g_imine	d_imine	g_ketone	d_ketone	g_nitrile	d_nitrile	g_nitro	d_nitro	g_phosphate	d_phosphate	g_phosphoanhydride	d_phosphoanhydride	g_primary_amine	d_primary_amine	g_quaternary_n	d_quaternary_n	g_sulfate_ester	d_sulfate_ester	g_sulfonate	d_sulfonate	g_thioester	d_thioester	g_thiol	d_thiol	n_groups_changed	diff_gc_eq	diff_gc_dgp	diff_eq_dgp	dg_range3	dg_mean3	max_abs_pairdiff
rxn00001	diphosphate phosphohydrolase	OK	0	0	>	(1) cpd00001[0] + (1) cpd00012[0] => (2) cpd00009[0] + (1) cpd00067[0]	(1) H2O[0] + (1) PPi[0] => (2) Phosphate[0] + (1) H+[0]	3.6.1.1	3	1	4.15	-4.07	-3.77	3	1	R00004	R00004	1	9	1	0	0.0	2	2	4	5.0	2.0	3	H;O;P	0	1	0	0	0	0	0	0	0	1	0	176.0	9	0	0	h;h2o;pi;ppi	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	8.22	7.92	-0.30000000000000027	8.22	-1.23	8.22
rxn00002	urea-1-carboxylate amidohydrolase	OK	0	0	>	(1) cpd00001[0] + (3) cpd00067[0] + (1) cpd00742[0] => (2) cpd00011[0] + (2) cpd00013[0]	(1) H2O[0] + (3) H+[0] + (1) Allophanate[0] => (2) CO2[0] + (2) NH3[0]	3.5.1.54	3	1	-9.62	-19.77	-20.55	3	1	R00005	R00005	1	3	1	0	0.0	3	2	5	9.0	3.0	4	C;H;N;O	0	0	1	0	0	0	0	0	0	1	2	103.0	7	0	0	co2;h;h2o;nh3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	-3.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	10.15	10.930000000000001	0.7800000000000011	10.930000000000001	-16.646666666666665	10.930000000000001
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	OK	0	0	<	(1) cpd00011[0] + (1) cpd00668[0] <= (2) cpd00020[0] + (1) cpd00067[0]	(1) CO2[0] + (1) ALCTT[0] <= (2) Pyruvate[0] + (1) H+[0]	2.2.1.6	2	1	10.53	7.14	11.16	3	1	R00006	R00006	1	3	1	0	0.0	2	2	4	5.0	2.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	5	131.0	9	0	0	co2;h	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	3.3899999999999997	-0.6300000000000008	-4.0200000000000005	4.0200000000000005	9.61	4.0200000000000005
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	OK	0	0	=	(1) cpd02570[0] <=> (2) cpd00020[0]	(1) Parapyruvate[0] <=> (2) Pyruvate[0]	4.1.3.17	4	1	3.17	3.38	1.74	3	1	R00008	R00008	1	1	1	0	0.0	1	1	2	3.0	2.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	6	174.0	12	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	-0.20999999999999996	1.43	1.64	1.64	2.763333333333333	1.64
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	OK	0	0	>	(2) cpd00025[0] => (2) cpd00001[0] + (1) cpd00007[0]	(2) H2O2[0] => (2) H2O[0] + (1) O2[0]	1.11.1.21;1.11.1.6	1	2	-45.36	-45.86	-46.51	3	1	R00009	R00009	1	24	1	0	0.0	1	2	3	5.0	2.0	2	H;O	0	0	0	0	0	0	0	0	0	1	0	34.0	2	0	0	h2o;h2o2;o2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.5	1.1499999999999986	0.6499999999999986	1.1499999999999986	-45.91	1.1499999999999986
rxn00007	alpha,alpha-trehalose glucohydrolase	OK	0	0	=	(1) cpd00001[0] + (1) cpd00794[0] <=> (2) cpd00027[0]	(1) H2O[0] + (1) TRHL[0] <=> (2) D-Glucose[0]	3.2.1.28	3	1	-3.11	-2.74	-2.67	3	2	R00010	R00010;R06103	1	5	1	1	0.0	2	1	3	4.0	2.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	12	342.0	23	3	0	h2o	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	-1.0	0.0	0.0	0.0	0.0	18.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	-0.36999999999999966	-0.43999999999999995	-0.07000000000000028	0.43999999999999995	-2.84	0.43999999999999995
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	CI:2	0	0	<	(2) cpd00001[0] <= (1) cpd00025[0] + (2) cpd00067[0]	(2) H2O[0] <= (1) H2O2[0] + (2) H+[0]	1.11.1.13	1	1	62.27	62.33	62.9	3	1	R00011	R00011	1	93	1	0	0.0	1	2	3	5.0	2.0	2	H;O	0	0	0	0	0	0	0	0	0	1	0	34.0	2	0	0	h;h2o;h2o2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	-0.05999999999999517	-0.6299999999999955	-0.5700000000000003	0.6299999999999955	62.5	0.6299999999999955
rxn00009	GTP:GTP guanylyltransferase	OK	0	0	=	(2) cpd00038[0] <=> (1) cpd00012[0] + (1) cpd00067[0] + (1) cpd00925[0]	(2) GTP[0] <=> (1) PPi[0] + (1) H+[0] + (1) GppppG[0]	2.7.7.45	2	1	-8.46	2.85	-6.82	3	1	R00012	R00012	1	4	1	0	0.0	1	3	4	5.0	2.0	5	C;H;N;O;P	0	1	1	0	0	0	0	0	0	1	20	864.0	55	9	6	h;ppi	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	8.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	-11.31	-1.6400000000000006	9.67	11.31	-4.1433333333333335	11.31
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	OK	0	0	=	(2) cpd00040[0] + (1) cpd00067[0] <=> (1) cpd00011[0] + (1) cpd00843[0]	(2) Glyoxalate[0] + (1) H+[0] <=> (1) CO2[0] + (1) Tartronate semialdehyde[0]	4.1.1.47	4	1	-10.57	-4.49	-4.52	3	1	R00013	R00013	1	1	1	0	0.0	2	2	4	5.0	2.0	3	C;H;O	0	0	0	0	0	0	0	0	0	1	3	103.0	7	0	0	co2;h	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	3.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	-6.08	-6.050000000000001	0.02999999999999936	6.08	-6.526666666666666	6.08
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	OK	0	0	<	(1) cpd00011[0] + (1) cpd03049[0] <= (1) cpd00020[0] + (1) cpd00056[0] + (1) cpd00067[0]	(1) CO2[0] + (1) 2-Hydroxyethyl-ThPP[0] <= (1) Pyruvate[0] + (1) TPP[0] + (1) H+[0]	1.2.4.1;2.2.1.6;4.1.1.1	1;2;4	3	6.87	6.99	0.04	3	1	R00014	R00014	1	3	1	0	0.0	2	3	5	5.0	1.0	6	C;H;N;O;P;S	1	1	1	0	0	0	0	0	0	1	14	467.0	29	4	4	co2;h	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	6.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	-0.1200000000000001	6.83	6.95	6.95	4.633333333333333	6.95
